LAD23NM,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Walsall,347.0,353.4,359.6,335.3,353.2,353.4,360.3,380.9,378.2,392.4,413.1,436.2,437.1,461.4,479.1,522.2,561.8
Shropshire,347.3,375.3,393.0,361.7,365.2,393.7,383.3,397.4,403.1,425.2,439.8,457.3,437.7,466.7,505.8,552.4,564.9
Ipswich,347.8,347.6,355.9,328.3,362.2,370.0,354.5,383.3,393.8,410.6,416.3,436.9,436.5,460.3,490.5,573.7,591.2
Darlington,348.6,370.2,378.7,354.7,347.7,381.7,386.9,402.0,437.2,416.2,415.1,440.4,427.9,502.4,480.4,530.7,558.8
East Staffordshire,348.8,365.3,367.1,364.2,370.5,376.9,385.0,359.9,382.2,416.9,430.8,451.6,487.0,464.6,515.8,570.8,607.0
Rhondda Cynon Taf,349.8,351.8,359.2,362.6,374.2,389.3,372.1,391.8,412.6,406.2,417.7,430.1,434.3,461.3,486.6,528.9,579.7
Caerphilly,350.1,359.9,386.1,383.3,378.0,399.7,386.4,401.3,405.2,420.3,433.1,444.9,442.3,477.7,502.1,529.8,567.9
Ashfield,350.3,358.8,355.2,338.9,356.6,362.5,385.2,378.0,395.7,408.1,437.4,437.5,462.3,460.1,480.2,525.0,553.7
Dundee City,350.4,361.8,385.4,355.6,358.4,375.8,390.2,375.7,403.0,409.9,428.2,438.2,478.4,481.6,507.2,545.5,573.9
North Ayrshire,350.6,367.4,381.6,387.1,373.6,396.5,420.1,395.6,427.2,447.9,446.2,465.6,487.2,506.2,555.4,595.8,637.4
Dumfries and Galloway,350.7,340.0,336.2,340.2,320.6,362.6,368.4,351.8,376.2,371.7,395.8,395.4,406.5,452.8,468.7,519.1,557.9
Redditch,351.1,352.1,356.4,343.4,346.8,354.4,360.1,339.7,392.2,402.9,424.3,425.5,418.4,458.9,469.9,543.1,586.2
Arun,351.9,344.7,362.2,341.1,339.6,344.8,355.9,376.6,410.4,417.0,417.0,407.5,408.2,446.5,463.8,498.0,566.7
